Local,Nome,Logradouro,Latitude,Longitude
Café Deli,Europa Cafe,3 Times Sq,40756376,-73986713
Quick Serve,Ranch 1,832 Eighth Ave,40762444,-73985983
Full Serve,Sosa Borella,832 Eighth Ave,40762444,-73985983
Full Serve,Mi Nidito (Cantina Mexicana),852 Eighth Ave,40763128,-73985481
Coffee,Starbucks,871-879 Eighth Ave,40763644,-73985134
Full Serve,China Gourmet,877 Eighth Ave,40763789,-73985026
Full Serve,Rino Trattoria,877 Eighth Ave,40763789,-73985026
Café Deli,Laxmi Corp. Newsstand,879 Eighth Ave,40763839,-7398499
Full Serve,Caffe Cielo,881 Eighth Ave,40763885,-73984954
Full Serve,Cosmic Diner,888 Eighth Ave,40764072,-73984791
Full Serve,Brasserie Athena,300 W 46th St,40759963,-73988355
Full Serve,The House of Brews,302 W 51st St,40763037,-73985958
Full Serve,Seasons,888 Eighth Ave,40764072,-73984791
Quick Serve,World of Nuts and Ice Cream,888 Eighth Ave,40764072,-73984791
Café Deli,Green Emporium,791 Eighth Ave,40761133,-73986958
Full Serve,Rosie O'Grady's Saloon,800 Seventh Ave,40762441,-73982294
Café Deli,810 Deli Inc ,810 Seventh Ave,40762639,-73982146
Café Deli,Deli Café,810 Seventh Ave,40762639,-73982146
Full Serve,Ichi Masa Japanese Sushi,825 Eighth Ave,40762074,-73986275
Coffee,Starbucks,825 Eighth Ave,40762074,-73986275
Coffee,Starbucks,156 W 52nd St,40762027,-73981622
Full Serve,The Library @ Paramount Hotel,235 W 46th St,40759132,-73986348
Bar Lounge,46 Bar (Paramount Hotel),235 W 46th St,40759132,-73986348
Café Deli,Victor's Cafe,236 W 52nd St,40762968,-73983853
Quick Serve,Auntie Anne's,664 Eighth Ave,40757436,-73989633
Full Serve,B.B. King Blues Club & Grill,237 W 42nd St,40756785,-73988702
Quick Serve,Cold Stone Creamery Tim Horton's,243 W 42nd St,40756821,-73988789
Full Serve,Dallas BBQ,27 West 72nd Street,40776988,-73977766
Coffee,Starbucks,251 W 42nd St,40756867,-73988901
Full Serve,Pongsri Thai Restaurant,244 W 48th St,4076052,-73985817
Full Serve,Smokehouse,249 W 48th St,4076057,-7398589
Full Serve,Lucky Star Cafe,250 W 43rd St,40757309,-73987901
Full Serve,Shula's Steakhouse,250 W 43rd St,40757309,-73987901
Full Serve,Scarlatto,250 W 47th St,40759892,-73986276
Full Serve,Toloache,251 W 50th St,40761851,-73985041
Full Serve,Bluechili,251 W 51st St,40762477,-73984586
Full Serve,Pergola des Artistes,252 W 46th St,40759261,-73986695
Full Serve,Trattoria Trecolori,254 W 47th St,40759919,-73986348
Full Serve,Russian Samovar Restaurant,256 W 52nd St,40763111,-73984192
Full Serve,John's Pizzeria,260 W 44th St,40758124,-73987897
Quick Serve,Just Pies Inc,260 W 44th St,40758124,-73987897
Café Deli,Sunrise Deli,1441 Broadway,40754707,-73986753
Full Serve,Restaurant Charlotte @ Millennium Broadway Hotel,145 W 44th St,40756667,-73984396
Full Serve,O'Lunney's Times Square Pub,145 W 45th St,40757336,-73984017
Coffee,Vacant (Juan Valdez Coffee),1451 Broadway,40755152,-73986613
Café Deli,Abondanza,146 W 46th St,40757948,-73983598
Full Serve,Dervish Turkish Restaurant,146 W 47th St,40758579,-7398315
Quick Serve,Godiva Chocolatier,1460 Broadway,40754998,-73986284
