Local,Nome,Logradouro,Latitude,Longitude
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40775036,-73912034
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40775036,-73912034
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40775036,-73912034
ESTACAO DE METRO,Ditmars Blvd,23rd Ave,40775036,-73912034
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave South,40770258,-73917843
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave South,40770258,-73917843
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave North,40770258,-73917843
ESTACAO DE METRO,Astoria Blvd-Hoyt Av,Hoyt Ave North,40770258,-73917843
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40766779,-73921479
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40766779,-73921479
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40766779,-73921479
ESTACAO DE METRO,30 Av-Grand Av,30th Ave,40766779,-73921479
ESTACAO DE METRO,Broadway,Broadway,4076182,-73925508
ESTACAO DE METRO,Broadway,Broadway,4076182,-73925508
ESTACAO DE METRO,Broadway,Broadway,4076182,-73925508
ESTACAO DE METRO,36 Av-Washington Av,36th Ave,40756804,-73929575
ESTACAO DE METRO,36 Av-Washington Av,36th Ave,40756804,-73929575
ESTACAO DE METRO,36 Av-Washington Av,36th Ave,40756804,-73929575
ESTACAO DE METRO,39 Av-Beebe Av,39th Ave,40752882,-73932755
ESTACAO DE METRO,39 Av-Beebe Av,39th Ave,40752882,-73932755
ESTACAO DE METRO,5th Av,60th St,40764811,-73973347
ESTACAO DE METRO,5th Av,60th St,40764811,-73973347
ESTACAO DE METRO,5th Av,60th St,40764811,-73973347
ESTACAO DE METRO,5th Av,60th St,40764811,-73973347
ESTACAO DE METRO,57th St,57th St,40764664,-73980658
ESTACAO DE METRO,57th St,57th St,40764664,-73980658
ESTACAO DE METRO,57th St,57th St,40764664,-73980658
ESTACAO DE METRO,57th St,57th St,40764664,-73980658
ESTACAO DE METRO,49th St,49th St,40759901,-73984139
ESTACAO DE METRO,49th St,49th St,40759901,-73984139
ESTACAO DE METRO,28th St,28th St,40745494,-73988691
ESTACAO DE METRO,28th St,28th St,40745494,-73988691
ESTACAO DE METRO,23rd St,23rd St,40741303,-73989344
ESTACAO DE METRO,23rd St,23rd St,40741303,-73989344
ESTACAO DE METRO,23rd St,23rd St,40741303,-73989344
ESTACAO DE METRO,23rd St,23rd St,40741303,-73989344
ESTACAO DE METRO,Union Square,14th St,40735736,-73990568
ESTACAO DE METRO,8th St,8th Ave,40730328,-73992629
ESTACAO DE METRO,8th St,8th Ave,40730328,-73992629
ESTACAO DE METRO,Prince St,Prince St,40724329,-73997702
ESTACAO DE METRO,Prince St,Prince St,40724329,-73997702
ESTACAO DE METRO,City Hall,Warren St,40713282,-74006978
ESTACAO DE METRO,City Hall,Warren St,40713282,-74006978
ESTACAO DE METRO,City Hall,Warren St,40713282,-74006978
ESTACAO DE METRO,Cortlandt St,Dey St,40710668,-74011029
ESTACAO DE METRO,Cortlandt St,Dey St,40710668,-74011029
ESTACAO DE METRO,Rector St,Rector St,4070722,-74013342
ESTACAO DE METRO,Rector St,Rector St,4070722,-74013342
ESTACAO DE METRO,Rector St,Rector St,4070722,-74013342
ESTACAO DE METRO,Whitehall St,,40703087,-74012994
ESTACAO DE METRO,Whitehall St,,40703087,-74012994
ESTACAO DE METRO,Whitehall St,,40703087,-74012994
ESTACAO DE METRO,Lawrence St,Willoughby St,4069218,-73985942
ESTACAO DE METRO,Lawrence St,Willoughby St,4069218,-73985942
ESTACAO DE METRO,Lawrence St,Willoughby St,4069218,-73985942
ESTACAO DE METRO,Lawrence St,Willoughby St,4069218,-73985942
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40690635,-73981824
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40690635,-73981824
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40690635,-73981824
ESTACAO DE METRO,DeKalb Av,De Kalb Ave,40690635,-73981824
ESTACAO DE METRO,Atlantic Av-Barclays Ctr,Pacific St,40683666,-7397881
ESTACAO DE METRO,Pacific St,Pacific St,40683666,-7397881
ESTACAO DE METRO,Pacific St,Pacific St,40683666,-7397881
ESTACAO DE METRO,Union St,Union St,40677316,-7398311
ESTACAO DE METRO,Union St,Union St,40677316,-7398311
ESTACAO DE METRO,Union St,Union St,40677316,-7398311
ESTACAO DE METRO,9th St,9th St,40670847,-73988302
ESTACAO DE METRO,Prospect Av,Prospect Ave,40665414,-73992872
ESTACAO DE METRO,Prospect Av,Prospect Ave,40665414,-73992872
ESTACAO DE METRO,25th St,25th St,40660397,-73998091
ESTACAO DE METRO,36th St,36th St,40655144,-74003549
ESTACAO DE METRO,36th St,36th St,40655144,-74003549
ESTACAO DE METRO,36th St,36th St,40655144,-74003549
ESTACAO DE METRO,45th St,45th St,40648939,-74010006
ESTACAO DE METRO,45th St,45th St,40648939,-74010006
ESTACAO DE METRO,45th St,45th St,40648939,-74010006
ESTACAO DE METRO,45th St,45th St,40648939,-74010006
ESTACAO DE METRO,53rd St,53rd St,40645069,-74014034
ESTACAO DE METRO,53rd St,53rd St,40645069,-74014034
ESTACAO DE METRO,53rd St,53rd St,40645069,-74014034
ESTACAO DE METRO,53rd St,53rd St,40645069,-74014034
ESTACAO DE METRO,59th St,59th St,40641362,-74017881
ESTACAO DE METRO,59th St,59th St,40641362,-74017881
ESTACAO DE METRO,59th St,59th St,40641362,-74017881
ESTACAO DE METRO,59th St,59th St,40641362,-74017881
ESTACAO DE METRO,Bay Ridge Av,Bay Ridge Ave,40634967,-74023377
ESTACAO DE METRO,Bay Ridge Av,Bay Ridge Ave,40634967,-74023377
ESTACAO DE METRO,77th St,77th St,40629742,-7402551
ESTACAO DE METRO,77th St,77th St,40629742,-7402551
ESTACAO DE METRO,86th St,86th St,40622687,-74028398
