Local,Nome,Logradouro,Latitude,Longitude
GALERIA DE ARTE,O'reilly William & Co Ltd,52 E 76th St,4.08E+21,-7.40E+20
GALERIA DE ARTE,Organization of Independent Artists - Gallery 402,19 Hudson St.,4.07E+20,-740093857886298
GALERIA DE ARTE,Owen Gallery,19 E 75th St,407740008522409,-7.40E+20
GALERIA DE ARTE,P P O W Gallerie,511 W 25th St,4.07E+20,-7.40E+20
GALERIA DE ARTE,P P O W Inc,476 Broome St,4.07E+20,-7.40E+20
GALERIA DE ARTE,P S 122 Gallery,150 1st Ave,4.07E+20,-7.40E+20
GALERIA DE ARTE,Pace Editions,44 W 18th St,4.07E+20,-7.40E+20
GALERIA DE ARTE,Pace MacGill Gallery,32 E. 57th St.,4.08E+20,-7.40E+19
GALERIA DE ARTE,Pace Prints & Primitive Gallery,32 E. 57th St.,4.08E+20,-7.40E+20
GALERIA DE ARTE,Pace Wildenstein,534 W 25th St,4.07E+21,-7.40E+19
GALERIA DE ARTE,Pace Wildenstein,32 E 57th St,4.08E+21,-7.40E+20
GALERIA DE ARTE,Paige's Art Gallery,3163 Broadway,4.08E+20,-7.40E+20
GALERIA DE ARTE,PaineWebber Gallery,1285 Sixth Ave.,4.08E+20,-7.40E+20
GALERIA DE ARTE,Paint Can Studios,3608 34th St,4.08E+21,-7.39E+20
GALERIA DE ARTE,Paley Barbara K,1776 Broadway,4.08E+20,-7.40E+20
GALERIA DE ARTE,Pall William Inc,188 E 64th St,4.08E+21,-7.40E+20
GALERIA DE ARTE,Palmer Meredith Gallery,40 E 94th St,4.08E+20,-7.40E+20
GALERIA DE ARTE,Pandora Old Masters,212 E 70th St,4.08E+20,-739608164118453
GALERIA DE ARTE,Pardo Sheenan Galleries Ltd,121 E 31st St,4.07E+20,-7.40E+20
GALERIA DE ARTE,Parker's Box,193 Grand St,4.07E+21,-739604447082016
GALERIA DE ARTE,Parsons Galleries,2 W. 13th St.,4.07E+20,-739947818620198
GALERIA DE ARTE,Patricia Laligant Photographs,150 W 28th St,4.07E+20,-7.40E+20
GALERIA DE ARTE,Patrick's Gallery,220 W 19th St,4.07E+21,-7.40E+20
GALERIA DE ARTE,Paul Kasmin Gallery,293 10th Ave,4.08E+20,-7.40E+20
GALERIA DE ARTE,Paula Cooper Gallery,534 W. 21st St.,4.07E+20,-740068977266516
GALERIA DE ARTE,Peck Ian Fine Paintings Ltd,980 Madison Ave,4.08E+20,-739636501275563
GALERIA DE ARTE,Peder Bonnier Inc,206 W 23rd St,407440599458188,-7.40E+20
GALERIA DE ARTE,Perimeter Gallery,511 W 25th St,4.07E+20,-7.40E+20
