Local,Nome,Logradouro,Latitude,Longitude
TEATRO,45th Street Theater,354 West 45th Street,4.07599E+15,-7.39906E+15
TEATRO,47th Street Theater,304 West 47th Street,4.07605E+15,-739881059525377
TEATRO,Acorn Theater,410 West 42nd Street,407585366821068,-7.39933E+15
TEATRO,Al Hirschfeld Theater,302 W 45th Street,4.07593E+15,-739892143340222
TEATRO,Ambassador Theatre,219 West 49th Street,4.07613E+16,-7.3985E+15
TEATRO,American Airlines Theatre,227 W 42nd Street,4.07568E+16,-7.3988E+15
TEATRO,Apollo Theater,253 West 125th Street,4.081E+15,-7.395E+15
TEATRO,Arclight Theatre,152 W 71st St,4.07771E+15,-7.39812E+15
TEATRO,Astor Place Theatre,434 Lafayette St,407293774091894,-7.39923E+15
TEATRO,Atlantic Theatre,336 W 20th St,4.07439E+15,-7,40016E+15
TEATRO,August Wilson Theatre,245 W 52nd Street,4.07634E+15,-7.39842E+15
TEATRO,Barrow Street Theatre,27 Barrow St,4.07323E+16,-7,40031E+15
TEATRO,Beacon Theatre,2124 Broadway,4.07806E+15,-7.3981E+15
TEATRO,Belasco Theatre,111 W 44th St,4.07567E+15,-7.39838E+15
TEATRO,Bernard B. Jacobs Theatre,242 W 45th Street,4.07586E+15,-7.39877E+15
TEATRO,Bleecker Street Theater,45 Bleecker Street,4.0726E+15,-739941751264985
TEATRO,Booth Theatre,222 W 45th St,4.07584E+15,-7.39871E+15
TEATRO,Broadhurst Theatre,235 W 44th St,407582644097864,-7.39876E+15
TEATRO,Broadway Theatre,1681 Broadway,4.07633E+16,-7.39834E+15
TEATRO,Brooks Atkinson Theatre,256 W 47th St,4.076E+15,-7.3987E+15
TEATRO,Castillo Theater,543 West 42nd Street,4.07606E+15,-7.3997E+15
TEATRO,Century Center For the Performing Arts,111 E 15th St,4.07352E+15,-7.39889E+15
TEATRO,Cherry Lane Theatre,38 Commerce Street,4.07313E+15,-7,40053E+15
TEATRO,Circle In the Square Theatre,1633 Broadway,407620294570833,-7.39845E+15
TEATRO,Connelly Theater,220 E 4th St,4.07236E+15,-7.39836E+15
TEATRO,Cort Theatre,138 W 48th St,4.07591E+16,-7.39831E+15
TEATRO,Daryl Roth Theatre,101 E 15th St,4.07353E+15,-7.39894E+15
TEATRO,Duke Theatre,229 W. 42nd St,4.07568E+15,-7.39882E+15
