Local,Nome,Latitude,Longitude
ESTACAO_METRO,Ditmars Blvd,40775036,-73912034
ESTACAO_METRO,Ditmars Blvd,40775036,-73912034
ESTACAO_METRO,Ditmars Blvd,40775036,-73912034
ESTACAO_METRO,Ditmars Blvd,40775036,-73912034
ESTACAO_METRO,Astoria Blvd-Hoyt Av,40770258,-73917843
ESTACAO_METRO,Astoria Blvd-Hoyt Av,40770258,-73917843
ESTACAO_METRO,Astoria Blvd-Hoyt Av,40770258,-73917843
ESTACAO_METRO,Astoria Blvd-Hoyt Av,40770258,-73917843
ESTACAO_METRO,30 Av-Grand Av,40766779,-73921479
ESTACAO_METRO,30 Av-Grand Av,40766779,-73921479
ESTACAO_METRO,30 Av-Grand Av,40766779,-73921479
ESTACAO_METRO,30 Av-Grand Av,40766779,-73921479
ESTACAO_METRO,Broadway,4076182,-73925508
ESTACAO_METRO,Broadway,4076182,-73925508
ESTACAO_METRO,Broadway,4076182,-73925508
ESTACAO_METRO,36 Av-Washington Av,40756804,-73929575
ESTACAO_METRO,36 Av-Washington Av,40756804,-73929575
ESTACAO_METRO,36 Av-Washington Av,40756804,-73929575
ESTACAO_METRO,39 Av-Beebe Av,40752882,-73932755
ESTACAO_METRO,39 Av-Beebe Av,40752882,-73932755
ESTACAO_METRO,5th Av,40764811,-73973347
ESTACAO_METRO,5th Av,40764811,-73973347
ESTACAO_METRO,5th Av,40764811,-73973347
ESTACAO_METRO,5th Av,40764811,-73973347
ESTACAO_METRO,57th St,40764664,-73980658
ESTACAO_METRO,57th St,40764664,-73980658
ESTACAO_METRO,57th St,40764664,-73980658
ESTACAO_METRO,57th St,40764664,-73980658
ESTACAO_METRO,49th St,40759901,-73984139
ESTACAO_METRO,49th St,40759901,-73984139
ESTACAO_METRO,28th St,40745494,-73988691
ESTACAO_METRO,28th St,40745494,-73988691
ESTACAO_METRO,23rd St,40741303,-73989344
ESTACAO_METRO,23rd St,40741303,-73989344
ESTACAO_METRO,23rd St,40741303,-73989344
ESTACAO_METRO,23rd St,40741303,-73989344
ESTACAO_METRO,Union Square,40735736,-73990568
ESTACAO_METRO,8th St,40730328,-73992629
ESTACAO_METRO,8th St,40730328,-73992629
ESTACAO_METRO,Prince St,40724329,-73997702
ESTACAO_METRO,Prince St,40724329,-73997702
ESTACAO_METRO,City Hall,40713282,-74006978
ESTACAO_METRO,City Hall,40713282,-74006978
ESTACAO_METRO,City Hall,40713282,-74006978
ESTACAO_METRO,Cortlandt St,40710668,-74011029
ESTACAO_METRO,Cortlandt St,40710668,-74011029
ESTACAO_METRO,Rector St,4070722,-74013342
ESTACAO_METRO,Rector St,4070722,-74013342
ESTACAO_METRO,Rector St,4070722,-74013342
ESTACAO_METRO,Whitehall St,40703087,-74012994
ESTACAO_METRO,Whitehall St,40703087,-74012994
ESTACAO_METRO,Whitehall St,40703087,-74012994
ESTACAO_METRO,Lawrence St,4069218,-73985942
ESTACAO_METRO,Lawrence St,4069218,-73985942
ESTACAO_METRO,Lawrence St,4069218,-73985942
ESTACAO_METRO,Lawrence St,4069218,-73985942
ESTACAO_METRO,DeKalb Av,40690635,-73981824
ESTACAO_METRO,DeKalb Av,40690635,-73981824
ESTACAO_METRO,DeKalb Av,40690635,-73981824
ESTACAO_METRO,DeKalb Av,40690635,-73981824
ESTACAO_METRO,Atlantic Av-Barclays Ctr,40683666,-7397881
ESTACAO_METRO,Pacific St,40683666,-7397881
ESTACAO_METRO,Pacific St,40683666,-7397881
ESTACAO_METRO,Union St,40677316,-7398311
ESTACAO_METRO,Union St,40677316,-7398311
ESTACAO_METRO,Union St,40677316,-7398311
ESTACAO_METRO,9th St,40670847,-73988302
ESTACAO_METRO,Prospect Av,40665414,-73992872
ESTACAO_METRO,Prospect Av,40665414,-73992872
ESTACAO_METRO,25th St,40660397,-73998091
ESTACAO_METRO,36th St,40655144,-74003549
ESTACAO_METRO,36th St,40655144,-74003549
ESTACAO_METRO,36th St,40655144,-74003549
ESTACAO_METRO,45th St,40648939,-74010006
ESTACAO_METRO,45th St,40648939,-74010006
ESTACAO_METRO,45th St,40648939,-74010006
ESTACAO_METRO,45th St,40648939,-74010006
ESTACAO_METRO,53rd St,40645069,-74014034
ESTACAO_METRO,53rd St,40645069,-74014034
ESTACAO_METRO,53rd St,40645069,-74014034
ESTACAO_METRO,53rd St,40645069,-74014034
ESTACAO_METRO,59th St,40641362,-74017881
ESTACAO_METRO,59th St,40641362,-74017881
ESTACAO_METRO,59th St,40641362,-74017881
ESTACAO_METRO,59th St,40641362,-74017881
ESTACAO_METRO,Bay Ridge Av,40634967,-74023377
ESTACAO_METRO,Bay Ridge Av,40634967,-74023377
ESTACAO_METRO,77th St,40629742,-7402551
ESTACAO_METRO,77th St,40629742,-7402551
ESTACAO_METRO,86th St,40622687,-74028398
ESTACAO_METRO,86th St,40622687,-74028398
ESTACAO_METRO,95th St,40616622,-74030876
ESTACAO_METRO,95th St,40616622,-74030876
ESTACAO_METRO,95th St,40616622,-74030876
ESTACAO_METRO,7th Av,4067705,-73972367
ESTACAO_METRO,7th Av,4067705,-73972367
ESTACAO_METRO,Prospect Park,40661614,-73962246
ESTACAO_METRO,Parkside Av,40655292,-73961495
ESTACAO_METRO,Church Av,40650527,-73962982
ESTACAO_METRO,Beverly Rd,40644031,-73964492
ESTACAO_METRO,Cortelyou Rd,40640927,-73963891
ESTACAO_METRO,Newkirk Av,40635082,-73962793
ESTACAO_METRO,Av H,4062927,-73961639
ESTACAO_METRO,Av J,40625039,-73960803
ESTACAO_METRO,Av M,40617618,-73959399
ESTACAO_METRO,Kings Highway,4060867,-73957734
ESTACAO_METRO,Av U,405993,-73955929
ESTACAO_METRO,Neck Rd,40595246,-73955161
ESTACAO_METRO,Sheepshead Bay,40586896,-73954155
ESTACAO_METRO,Brighton Beach,40577621,-73961376
